DEPARTAMENTO,MES,Numero Eventos Reportados,SISTEMAS AFECTADOS,SEXO FEMENINO,SEXO MASCULINO,SEXO SIN ESPECIFICAR,CASOS NO SERIOS,CASOS SERIOS,EVENTO CLASIFICADO COMO FALLO TERAPEUTICO (FT),EVENTO CLASIFICADO COMO REACCION ADVERSA A MEDICAMENTO (RAM),EVENTO CLASIFICADO COMO PROBLEMA DE CALIDAD (PC),EVENTO CLASIFICADO COMO ERROR DE MEDICACIÓN (EM),EVENTO CLASIFICADO COMO EVENTO SUPUESTAMENTE ATRIBUIBLE A LA VACUNACIÓN (ESAVI)
CAUCA,JULIO DE 2020,38,NEOPLASMAS TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,42,41,1,73,11,2,81,0,3,0
CESAR,JULIO DE 2020,74,NEOPLASMAS TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS ENDOCRINOS TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOS VOCABLOS SECUNDARIOS EVENTOS,42,32,0,63,11,1,70,0,3,0
CHOCÓ,JULIO DE 2020,1,TRASTORNOS DEL SISTEMA URINARIO,0,1,0,0,1,0,2,0,0,0
CÓRDOBA,JULIO DE 2020,105,NEOPLASMAS TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA VISION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE OTROS SENTIDOS ESPECIALES TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS NEONATALES Y EN LA PRIMERA INFANCIA TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,69,35,1,85,20,0,89,0,17,0
CUNDINAMARCA,JULIO DE 2020,185,NEOPLASMAS TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA REPRODUCCION VARONES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS NEONATALES Y EN LA PRIMERA INFANCIA TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,118,65,2,143,42,1,160,5,25,0
GUAINÍA,JULIO DE 2020,1,TRASTORNOS PSIQUIATRICOS,0,1,0,1,0,0,1,0,0,0
HUILA,JULIO DE 2020,199,TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE OTROS SENTIDOS ESPECIALES TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,88,95,16,143,56,3,143,0,53,0
LA GUAJIRA,JULIO DE 2020,11,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO VOCABLOS SECUNDARIOS EVENTOS,2,9,0,4,7,0,10,0,1,0
MAGDALENA,JULIO DE 2020,74,NEOPLASMAS TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS FETALES TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,43,31,0,51,23,0,71,0,3,0
META,JULIO DE 2020,43,NEOPLASMAS TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA VISION TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,32,11,0,36,7,0,42,0,1,0
NARIÑO,JULIO DE 2020,121,NEOPLASMAS TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS ENDOCRINOS TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,53,65,3,96,25,7,95,0,19,0
NORTE DE SANTANDER,JULIO DE 2020,111,NEOPLASMAS TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA VISION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE OTROS SENTIDOS ESPECIALES TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS VOCABLOS SECUNDARIOS EVENTOS,69,41,1,92,19,8,75,3,27,0
PUTUMAYO,JULIO DE 2020,7,TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS GENERALES DE TODO EL ORGANISMO VOCABLOS SECUNDARIOS EVENTOS,2,5,0,4,3,0,7,0,0,0
QUINDIO,JULIO DE 2020,70,TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS GENERALES DE TODO EL ORGANISMO VOCABLOS SECUNDARIOS EVENTOS,35,35,0,53,17,2,64,0,4,0
RISARALDA,JULIO DE 2020,155,NEOPLASMAS TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,106,48,1,123,32,4,145,0,10,0
SANTANDER,JULIO DE 2020,262,NEOPLASMAS TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS NEONATALES Y EN LA PRIMERA INFANCIA TRASTORNOS PSIQUIATRICOS VOCABLOS ESPECIFICOS A VENENOS VOCABLOS SECUNDARIOS EVENTOS,152,109,1,188,74,6,244,4,10,0
SUCRE,JULIO DE 2020,72,TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,49,22,1,56,16,1,48,0,23,0
TOLIMA,JULIO DE 2020,102,NEOPLASMAS TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,64,38,1,87,15,8,91,4,2,0
VALLE DEL CAUCA,JULIO DE 2020,1085,NEOPLASMAS TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DE OTROS SENTIDOS ESPECIALES TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS FETALES TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOS VOCABLOS SECUNDARIOS EVENTOS,695,383,7,839,246,44,1017,5,34,0
SIN INFORMACIÓN,JULIO DE 2020,639,NEOPLASMAS TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS FETALES TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,374,252,13,290,349,31,591,1,21,1
AMAZONAS,AGOSTO DE 2020,6,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,4,2,0,6,0,0,3,0,3,0
ANTIOQUIA,AGOSTO DE 2020,1429,NEOPLASMAS TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DE OTROS SENTIDOS ESPECIALES TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS FETALES TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS NEONATALES Y EN LA PRIMERA INFANCIA TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOS VOCABLOS SECUNDARIOS EVENTOS,817,598,14,1131,298,18,1332,9,74,5
ARAUCA,AGOSTO DE 2020,33,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA VISION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS GENERALES DE TODO EL ORGANISMO VOCABLOS SECUNDARIOS EVENTOS,20,13,0,30,3,0,10,1,21,1
ARCHIPIÉLAGO DE SAN ANDRÉS PROVIDENCIA Y SANTA CATALINA,AGOSTO DE 2020,2,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO,1,1,0,2,0,0,2,0,0,0
ATLÁNTICO,AGOSTO DE 2020,318,NEOPLASMAS TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOS VOCABLOS SECUNDARIOS EVENTOS,171,144,3,233,85,3,296,3,17,0
BOGOTÁ D C,AGOSTO DE 2020,2191,NEOPLASMAS TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA REPRODUCCION VARONES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DE OTROS SENTIDOS ESPECIALES TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS FETALES TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS NEONATALES Y EN LA PRIMERA INFANCIA TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOS VOCABLOS SECUNDARIOS EVENTOS,1170,957,64,1374,818,63,1986,14,157,7
BOLÍVAR,AGOSTO DE 2020,146,NEOPLASMAS TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION VARONES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,77,68,1,101,45,8,126,2,11,0
